"","station"
"1","88.1 WVPE"
"2","88.9 KETR"
"3","89.9 WWNO New Orleans Public Radio"
"4","Alabama Public Radio"
"5","Blue Ridge Public Radio"
"6","Boise State Public Radio"
"7","Capital Community Broadcasting"
"8","Capital Public Radio"
"9","Cincinnati Public Radio"
"10","Colorado Public Radio"
"11","Delmarva Public Radio"
"12","Hawaii Public Radio"
"13","High Plains Public Radio"
"14","Illinois Public Media"
"15","Interlochen Public Radio"
"16","Iowa Public Radio"
"17","Jefferson Public Radio"
"18","KACU"
"19","KAJX"
"20","KALW"
"21","KANW"
"22","KASU"
"23","KAWC"
"24","KAZU"
"25","KBBI"
"26","KBIA"
"27","KCBX"
"28","KCCU"
"29","KCND"
"30","KCUR"
"31","KDLG"
"32","KEDM"
"33","KENW"
"34","KERA"
"35","KGOU"
"36","KIOS"
"37","KLCC"
"38","KMUW"
"39","KNAU"
"40","KNBA KBC"
"41","KNKX"
"42","KOSU"
"43","KPBS"
"44","KPBX"
"45","KPCW 91.9FM"
"46","KQED"
"47","KRCC"
"48","KRCU"
"49","KRVS"
"50","KRWG"
"51","KSFR"
"52","KSJD"
"53","KSTX"
"54","KSUT Four Corners"
"55","KTEP"
"56","KTTZ"
"57","KUAC"
"58","KUAF 91.3 FM Fayetteville"
"59","KUAR"
"60","KUAZ-AM/FM"
"61","KUER"
"62","KUNC"
"63","KUNM"
"64","KUOW"
"65","KUT"
"66","KVCR"
"67","KVNF"
"68","KWBU"
"69","KWGS"
"70","KWIT"
"71","KWSU"
"72","Louisville Public Media"
"73","MTPR"
"74","Maine Public Broadcasting Network (MPBN)"
"75","Michigan Radio"
"76","NHPR"
"77","NIPR Northeast Indiana Public Radio"
"78","Nevada Public Radio"
"79","New England Public Radio"
"80","North Carolina Public Radio - WUNC"
"81","North State Public Radio"
"82","Oregon Public Broadcasting"
"83","Ozarks Public Radio"
"84","PECONIC PUBLIC BROADCASTING"
"85","Red River Radio KDAQ"
"86","South Carolina Public Radio"
"87","South Dakota Public Broadcasting"
"88","Southern California Public Radio"
"89","St. Louis Public Radio"
"90","Tri States Public Radio"
"91","Utah Public Radio"
"92","Vermont Public Radio"
"93","WABE"
"94","WAER Syracuse Public Media"
"95","WAMC Northeast Public Radio"
"96","WAMU 88.5"
"97","WBAA"
"98","WBFO"
"99","WBGO"
"100","WCBE"
"101","WCBU peoria public radio"
"102","WCLK"
"103","WCSU"
"104","WDAV Classical Public Radio"
"105","WDIY"
"106","WEAA-FM"
"107","WEKU"
"108","WEMU 89.1"
"109","WESA"
"110","WESM"
"111","WFAE"
"112","WFIT"
"113","WFSU"
"114","WFUV"
"115","WFYI"
"116","WGBH"
"117","WGCU"
"118","WGLT"
"119","WHQR"
"120","WHRV FM"
"121","WJCT"
"122","WKAR"
"123","WKMS"
"124","WKNO"
"125","WKSU"
"126","WKU Public Radio"
"127","WLRN"
"128","WMFE"
"129","WMKY"
"130","WMOT"
"131","WMRA"
"132","WMUK"
"133","WNCW"
"134","WNIN"
"135","WNMU"
"136","WNPR"
"137","WPRL"
"138","WPSU"
"139","WQCS FM"
"140","WRKF"
"141","WRTI"
"142","WRVO Public Media"
"143","WSHU"
"144","WSIU Public Broadcasting"
"145","WTEB"
"146","WUIS"
"147","WUKY"
"148","WUOT"
"149","WUSF"
"150","WUTC"
"151","WUWF"
"152","WUWM 89.7 FM - Milwaukee Public Radio"
"153","WVAS"
"154","WVIK"
"155","WVTF & RADIO IQ"
"156","WXPN"
"157","WXXI Public Broadcasting"
"158","WYPR Your Public Radio"
"159","WYSO"
"160","WYSU"
"161","West Virginia Public Broadcasting"
"162","White Pine Community Broadcasting"
"163","Wyoming Public Media"
"164","minnesota public radio"
"165","northern public radio"
"166","witf"
