"","station"
"1","88.1 WVPE"
"2","88.9 KETR"
"3","89.9 WWNO New Orleans Public Radio"
"4","Alabama Public Radio"
"5","Blue Ridge Public Radio"
"6","Boise State Public Radio"
"7","Capital Community Broadcasting"
"8","Capital Public Radio"
"9","Cincinnati Public Radio"
"10","Colorado Public Radio"
"11","Delmarva Public Radio"
"12","Hawaii Public Radio"
"13","High Plains Public Radio"
"14","Houston Public Media"
"15","Illinois Public Media"
"16","Indiana Public Media / WFIU"
"17","Interlochen Public Radio"
"18","Iowa Public Radio"
"19","Jefferson Public Radio"
"20","KACU"
"21","KAJX"
"22","KALW"
"23","KANW"
"24","KASU"
"25","KAWC"
"26","KAZU"
"27","KBBI"
"28","KBIA"
"29","KCBX"
"30","KCCU"
"31","KCND"
"32","KCUR"
"33","KDLG"
"34","KEDM"
"35","KENW"
"36","KERA"
"37","KEXP"
"38","KGOU"
"39","KIOS"
"40","KLCC"
"41","KMUW"
"42","KNAU"
"43","KNBA KBC"
"44","KNKX"
"45","KOSU"
"46","KPBS"
"47","KPBX"
"48","KPCW 91.9FM"
"49","KQED"
"50","KRCC"
"51","KRCU"
"52","KRVS"
"53","KRWG"
"54","KSFR"
"55","KSJD"
"56","KSTX"
"57","KSUT Four Corners"
"58","KTEP"
"59","KTTZ"
"60","KUAC"
"61","KUAF 91.3 FM Fayetteville"
"62","KUAR"
"63","KUAZ-AM/FM"
"64","KUER"
"65","KUMD"
"66","KUNC"
"67","KUNM"
"68","KUOW"
"69","KUT"
"70","KVCR"
"71","KVNF"
"72","KWBU"
"73","KWGS"
"74","KWIT"
"75","KWSU"
"76","Louisville Public Media"
"77","Maine Public Broadcasting Network (MPBN)"
"78","Michigan Radio"
"79","minnesota public radio"
"80","Mississippi Public Broadcasting"
"81","MTPR"
"82","Nevada Public Radio"
"83","New England Public Radio"
"84","NHPR"
"85","NIPR Northeast Indiana Public Radio"
"86","North Carolina Public Radio - WUNC"
"87","North State Public Radio"
"88","northern public radio"
"89","Oregon Public Broadcasting"
"90","Ozarks Public Radio"
"91","PECONIC PUBLIC BROADCASTING"
"92","Red River Radio KDAQ"
"93","South Carolina Public Radio"
"94","South Dakota Public Broadcasting"
"95","Southern California Public Radio"
"96","St. Louis Public Radio"
"97","Tri States Public Radio"
"98","Utah Public Radio"
"99","Vermont Public Radio"
"100","WABE"
"101","WAER Syracuse Public Media"
"102","WAMC Northeast Public Radio"
"103","WAMU 88.5"
"104","WBAA"
"105","WBFO"
"106","WBGO"
"107","WBUR"
"108","WCBE"
"109","WCBU peoria public radio"
"110","WCLK"
"111","WCSU"
"112","WDAV Classical Public Radio"
"113","WDIY"
"114","WEAA-FM"
"115","WEKU"
"116","WEMU 89.1"
"117","WESA"
"118","WESM"
"119","West Virginia Public Broadcasting"
"120","WFAE"
"121","WFIT"
"122","WFSU"
"123","WFUV"
"124","WFYI"
"125","WGBH"
"126","WGCU"
"127","WGLT"
"128","White Pine Community Broadcasting"
"129","WHQR"
"130","WHRV FM"
"131","WHYY"
"132","witf"
"133","WJCT"
"134","WKAR"
"135","WKMS"
"136","WKNO"
"137","WKSU"
"138","WKU Public Radio"
"139","WLRN"
"140","WMFE"
"141","WMKY"
"142","WMOT"
"143","WMRA"
"144","WMUK"
"145","WNCW"
"146","WNIN"
"147","WNMU"
"148","WNPR"
"149","WOSU Public Media"
"150","WPRL"
"151","WPSU"
"152","WQCS FM"
"153","WRKF"
"154","WRTI"
"155","WRVO Public Media"
"156","WSHU"
"157","WSIU Public Broadcasting"
"158","WSKG Public Media"
"159","WTEB"
"160","WUIS"
"161","WUKY"
"162","WUOT"
"163","WUSF Public Media"
"164","WUTC"
"165","WUWF"
"166","WUWM 89.7 FM - Milwaukee Public Radio"
"167","WVAS"
"168","WVIK"
"169","WVTF & RADIO IQ"
"170","WXPN"
"171","WXXI Public Broadcasting"
"172","Wyoming Public Media"
"173","WYPR Your Public Radio"
"174","WYSO"
"175","WYSU"
